image,brand,confidence_brands,body_style,confidence_body_styles
"88,000+_Images_of_Cars_6823.jpg",NISSAN,0.5986328125,suv,0.7958984375
"88,000+_Images_of_Cars_25545.jpg",NISSAN,0.9765625,sports_car,0.97998046875
train_03301.jpg,NISSAN,0.81298828125,sports_car,0.8671875
"88,000+_Images_of_Cars_43818.jpg",CHEVROLET,0.73681640625,sports_car,0.93603515625
"88,000+_Images_of_Cars_34448.jpg",NISSAN,0.89306640625,suv,0.74560546875
"88,000+_Images_of_Cars_37141.jpg",FIAT,0.97802734375,sports_car,0.61083984375
"88,000+_Images_of_Cars_38272.jpg",HONDA,0.56103515625,sports_car,0.98779296875
"88,000+_Images_of_Cars_78656.jpg",CHEVROLET,0.98291015625,sports_car,0.9716796875
train_01516.jpg,ALFAROMEO,0.2861328125,sports_car,0.95361328125
"88,000+_Images_of_Cars_31530.jpg",HONDA,0.250732421875,family_car,0.83642578125
"88,000+_Images_of_Cars_77565.jpg",CHEVROLET,0.427978515625,suv,0.87939453125
"88,000+_Images_of_Cars_59840.jpg",HYUNDAI,0.401611328125,sedan,0.63134765625
"88,000+_Images_of_Cars_67010.jpg",NISSAN,0.9765625,suv,0.76416015625
"88,000+_Images_of_Cars_41969.jpg",MAZDA,0.984375,hatchback,0.73388671875
"88,000+_Images_of_Cars_11186.jpg",CHEVROLET,0.72412109375,suv,0.75830078125
test_02834.jpg,CHEVROLET,0.89306640625,suv,0.61083984375
"88,000+_Images_of_Cars_30148.jpg",MAZDA,0.55419921875,sports_car,0.66064453125
"88,000+_Images_of_Cars_65607.jpg",RENAULT,0.257080078125,family_car,0.87841796875
"88,000+_Images_of_Cars_64519.jpg",MAZDA,0.599609375,sports_car,0.72802734375
train_05016.jpg,ALFAROMEO,0.411376953125,sports_car,0.994140625
"88,000+_Images_of_Cars_35030.jpg",MAZDA,0.85595703125,sports_car,0.88818359375
"88,000+_Images_of_Cars_13949.jpg",CHEVROLET,0.93115234375,family_car,0.91015625
"88,000+_Images_of_Cars_33455.jpg",FORD,0.265869140625,suv,0.77392578125
train_03473.jpg,CHEVROLET,0.243896484375,suv,0.72509765625
"88,000+_Images_of_Cars_13785.jpg",FIAT,0.990234375,sports_car,0.650390625
"88,000+_Images_of_Cars_24129.jpg",KIA,0.4794921875,family_car,0.8369140625
"88,000+_Images_of_Cars_18808.jpg",RENAULT,0.412109375,sports_car,0.89892578125
"88,000+_Images_of_Cars_77217.jpg",VOLVO,0.927734375,suv,0.607421875
"88,000+_Images_of_Cars_27420.jpg",LEXUS,0.99365234375,sports_car,0.93212890625
"88,000+_Images_of_Cars_38500.jpg",PEUGEOT,0.421142578125,sports_car,0.99755859375
"88,000+_Images_of_Cars_38266.jpg",HYUNDAI,0.4775390625,suv,0.9072265625
"88,000+_Images_of_Cars_6837.jpg",NISSAN,0.89990234375,sports_car,0.7392578125
"88,000+_Images_of_Cars_25551.jpg",KIA,0.62939453125,suv,0.74853515625
"88,000+_Images_of_Cars_57851.jpg",CHEVROLET,0.58349609375,suv,0.669921875
"88,000+_Images_of_Cars_30612.jpg",KIA,0.2374267578125,family_car,0.83447265625
train_00634.jpg,OPEL,0.276123046875,sports_car,0.9912109375
"88,000+_Images_of_Cars_79574.jpg",CHEVROLET,0.86328125,sports_car,0.638671875
"88,000+_Images_of_Cars_39150.jpg",OPEL,0.57177734375,sports_car,0.982421875
"88,000+_Images_of_Cars_25579.jpg",HYUNDAI,0.32470703125,sports_car,0.68212890625
test_00979.jpg,NISSAN,0.2626953125,sports_car,0.998046875
"88,000+_Images_of_Cars_34474.jpg",CHEVROLET,0.828125,sports_car,0.99560546875
train_04334.jpg,RENAULT,0.251953125,sports_car,0.99365234375
"88,000+_Images_of_Cars_9292.jpg",VOLVO,0.9541015625,suv,0.69189453125
"88,000+_Images_of_Cars_87866.jpg",HONDA,0.44921875,family_car,0.939453125
test_07970.jpg,FORD,0.7431640625,suv,0.93408203125
"88,000+_Images_of_Cars_39636.jpg",ALFAROMEO,0.324462890625,sports_car,0.88671875
"88,000+_Images_of_Cars_18820.jpg",PEUGEOT,0.19091796875,sports_car,0.9208984375
"88,000+_Images_of_Cars_50694.jpg",CITROEN,0.199462890625,sports_car,0.76416015625
"88,000+_Images_of_Cars_67038.jpg",KIA,0.265625,sports_car,0.62939453125
"88,000+_Images_of_Cars_61449.jpg",KIA,0.40625,family_car,0.76318359375
